Src Port,Dst Port,Protocol,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Fwd Packet Length Min,Bwd Packet Length Max,Flow IAT Min,Fwd IAT Min,Fwd Header Length,Bwd Packets/s,Packet Length Max,Packet Length Std,RST Flag Count,FWD Init Win Bytes,Bwd Init Win Bytes,Idle Mean,Idle Max,FIN Flag Count,SYN Flag Count,ACK Flag Count,Label
33344,443,6,379933,11,11,720.0,0.0,2736.0,1.0,1.0,360,28.952473199221966,2736.0,669.5297447099592,0,29200,131,1698846220361365.0,1698846220361365.0,1,2,21,0
36754,80,6,205637,3,3,87.0,0.0,189.0,0.0,0.0,104,14.588814269805532,189.0,73.49343994048526,0,29200,508,1698846231078414.0,1698846231078414.0,1,2,5,0
36754,80,6,0,2,0,0.0,0.0,0.0,0.0,0.0,64,0.0,0.0,0.0,0,237,0,1698846231288838.0,1698846231288838.0,1,0,2,0
8080,40426,6,5030379,1,2,6.0,6.0,0.0,0.0,0.0,20,0.3975843569639584,6.0,3.4641016151377544,0,2048,123,849423117024930.5,1698846229019482.0,1,0,3,0
40054,80,6,72278,3,4,87.0,0.0,148.0,205.0,2458.0,104,55.341874429286925,148.0,56.78263693368649,0,29200,508,1698846236128933.0,1698846236128933.0,1,2,6,0
40054,80,6,2457,2,0,0.0,0.0,0.0,2457.0,2457.0,64,0.0,0.0,0.0,0,237,0,1698846236201416.0,1698846236201416.0,1,0,2,0
38000,443,6,15688031,11,10,1152.0,0.0,1513.0,0.0,0.0,360,0.6374286231331389,1513.0,580.0563582858813,0,64240,114,849423118120469.0,1698846220643571.0,1,2,20,0
40436,8080,6,5755979,9,21,14890.0,0.0,254.0,0.0,183.0,296,3.648380232103001,7240.0,1476.112979765525,0,14600,2048,849423119880024.5,1698846234050236.0,1,2,29,0
53946,443,6,55035,6,9,813.0,0.0,1380.0,0.0,1640.0,132,163.5322976287817,1380.0,463.9097927758514,0,64240,265,1698846247060905.0,1698846247060905.0,1,2,14,0
60618,443,6,230175,14,12,3480.0,0.0,2660.0,1.0,1.0,292,52.13424568263278,2660.0,633.2520415665061,0,64240,501,1698846255619580.0,1698846255619580.0,1,2,25,0
